Age_Group,Gender,Account Type,Balance_Bucket,Transaction_Size,Transaction Type,Loan_Size,Loan Type,Loan Status,Rate_Category,Card Type,CC_Utilization_Category,Feedback Type,Resolution Status
Senior,Other,Savings,Comfortable,Very Large,Transfer,Large,Mortgage,Approved,High,Visa,Low,Suggestion,Resolved
Young Adult,Male,Savings,Below-Minimum,Very Large,Transfer,Small,Mortgage,Rejected,High,Visa,Over-Limit,Praise,Resolved
Early Career,Female,Current,Below-Minimum,Everyday,Transfer,Medium,Auto,Closed,Moderate,Visa,Low,Praise,Pending
Established,Other,Current,Comfortable,Everyday,Deposit,Large,Mortgage,Approved,Moderate,AMEX,High,Complaint,Resolved
Young Adult,Other,Current,Below-Minimum,Very Large,Deposit,Medium,Mortgage,Approved,Moderate,AMEX,Moderate,Complaint,Pending
Pre-Retirement,Female,Current,Mass-Market,Everyday,Deposit,Large,Personal,Rejected,Moderate,AMEX,Low,Praise,Pending
Pre-Retirement,Other,Current,Mass-Market,Very Large,Transfer,Large,Personal,Rejected,Low,MasterCard,Low,Praise,Resolved
Early Career,Female,Savings,Mass-Market,Very Large,Withdrawal,Very Large,Personal,Approved,Moderate,MasterCard,Moderate,Praise,Pending
Established,Female,Current,Mass-Market,Very Large,Withdrawal,Medium,Auto,Closed,High,MasterCard,Moderate,Suggestion,Resolved
Early Career,Female,Current,Mass-Market,Very Large,Deposit,Very Large,Personal,Closed,High,Visa,Over-Limit,Complaint,Pending
Established,Other,Current,Comfortable,Everyday,Withdrawal,Medium,Mortgage,Rejected,High,MasterCard,Low,Suggestion,Resolved
Established,Female,Savings,Comfortable,Everyday,Transfer,Large,Personal,Closed,Low,AMEX,High,Praise,Pending
Established,Other,Current,Comfortable,Everyday,Transfer,Medium,Personal,Closed,Moderate,Visa,Low,Suggestion,Resolved
Pre-Retirement,Male,Current,Comfortable,Very Large,Deposit,Large,Auto,Rejected,High,AMEX,Over-Limit,Complaint,Pending
Early Career,Female,Savings,Comfortable,Everyday,Withdrawal,Very Large,Auto,Approved,Low,Visa,Low,Praise,Pending
Established,Other,Savings,Mass-Market,Very Large,Deposit,Medium,Auto,Approved,High,MasterCard,Moderate,Praise,Pending
Early Career,Female,Current,Comfortable,Large,Transfer,Very Large,Auto,Rejected,Low,AMEX,Low,Complaint,Pending
Senior,Other,Savings,Comfortable,Very Large,Withdrawal,Large,Personal,Closed,High,AMEX,Moderate,Complaint,Pending
Young Adult,Other,Savings,Comfortable,Large,Transfer,Very Large,Mortgage,Rejected,Low,Visa,Moderate,Suggestion,Resolved
Established,Male,Current,Mass-Market,Everyday,Withdrawal,Very Large,Mortgage,Approved,Moderate,Visa,Moderate,Praise,Pending
Pre-Retirement,Female,Savings,Mass-Market,Large,Deposit,Medium,Personal,Rejected,Low,MasterCard,Over-Limit,Complaint,Pending
Pre-Retirement,Other,Savings,Comfortable,Very Large,Transfer,Large,Mortgage,Rejected,Low,AMEX,Low,Praise,Pending
Established,Male,Current,Comfortable,Very Large,Deposit,Medium,Mortgage,Approved,High,Visa,Low,Suggestion,Pending
Early Career,Other,Savings,Mass-Market,Everyday,Transfer,Medium,Personal,Rejected,Low,Visa,Moderate,Complaint,Pending
Young Adult,Other,Savings,Mass-Market,Very Large,Withdrawal,Large,Auto,Rejected,High,MasterCard,High,Complaint,Resolved
Pre-Retirement,Male,Current,Comfortable,Very Large,Withdrawal,Medium,Personal,Approved,High,AMEX,Low,Praise,Resolved
Established,Female,Current,Mass-Market,Very Large,Transfer,Large,Auto,Closed,High,MasterCard,Low,Praise,Resolved
Established,Male,Savings,Below-Minimum,Large,Transfer,Large,Mortgage,Rejected,High,MasterCard,High,Complaint,Resolved
Pre-Retirement,Female,Savings,Comfortable,Everyday,Transfer,Large,Auto,Closed,High,AMEX,Low,Complaint,Pending
Established,Other,Savings,Mass-Market,Large,Withdrawal,Very Large,Auto,Closed,Low,AMEX,Moderate,Praise,Resolved
Senior,Other,Savings,Mass-Market,Very Large,Deposit,Very Large,Mortgage,Closed,High,MasterCard,Low,Suggestion,Pending
Early Career,Male,Savings,Comfortable,Very Large,Deposit,Very Large,Auto,Closed,Low,AMEX,Low,Praise,Resolved
Established,Male,Current,Mass-Market,Everyday,Transfer,Large,Mortgage,Rejected,Low,Visa,High,Praise,Resolved
Established,Male,Savings,Mass-Market,Large,Deposit,Medium,Mortgage,Approved,Low,AMEX,Low,Suggestion,Resolved
Pre-Retirement,Other,Savings,Comfortable,Everyday,Deposit,Large,Personal,Rejected,High,AMEX,Moderate,Suggestion,Resolved
Senior,Female,Current,Below-Minimum,Very Large,Deposit,Medium,Personal,Closed,Low,Visa,Low,Praise,Pending
Established,Male,Current,Mass-Market,Large,Deposit,Medium,Personal,Closed,Low,Visa,Moderate,Complaint,Pending
Pre-Retirement,Female,Savings,Below-Minimum,Very Large,Withdrawal,Large,Mortgage,Rejected,Moderate,Visa,Over-Limit,Complaint,Pending
Pre-Retirement,Male,Savings,Mass-Market,Everyday,Withdrawal,Small,Auto,Closed,Moderate,MasterCard,Over-Limit,Suggestion,Pending
Pre-Retirement,Male,Current,Comfortable,Large,Withdrawal,Large,Auto,Closed,Low,AMEX,Low,Praise,Pending
Young Adult,Male,Savings,Comfortable,Very Large,Transfer,Very Large,Personal,Rejected,Moderate,Visa,Moderate,Praise,Pending
Established,Male,Current,Mass-Market,Large,Transfer,Very Large,Personal,Rejected,Moderate,Visa,Low,Praise,Pending
Early Career,Other,Current,Mass-Market,Very Large,Withdrawal,Very Large,Personal,Approved,Moderate,Visa,Low,Suggestion,Resolved
Pre-Retirement,Other,Current,Below-Minimum,Very Large,Deposit,Medium,Mortgage,Closed,Moderate,MasterCard,Low,Suggestion,Resolved
Established,Male,Current,Mass-Market,Large,Withdrawal,Medium,Mortgage,Closed,High,Visa,Moderate,Praise,Resolved
Established,Other,Savings,Comfortable,Large,Deposit,Medium,Personal,Rejected,High,AMEX,Moderate,Suggestion,Pending
Established,Other,Current,Comfortable,Very Large,Deposit,Large,Mortgage,Rejected,Low,Visa,Moderate,Praise,Resolved
Pre-Retirement,Other,Savings,Below-Minimum,Large,Withdrawal,Small,Personal,Closed,Low,Visa,Moderate,Suggestion,Resolved
Young Adult,Other,Current,Mass-Market,Large,Transfer,Very Large,Auto,Rejected,High,MasterCard,Low,Complaint,Resolved
Young Adult,Female,Savings,Mass-Market,Very Large,Deposit,Small,Mortgage,Rejected,Moderate,Visa,Low,Complaint,Resolved
Early Career,Female,Savings,Comfortable,Large,Deposit,Large,Mortgage,Rejected,High,Visa,Low,Complaint,Resolved
Pre-Retirement,Other,Current,Mass-Market,Large,Withdrawal,Very Large,Mortgage,Closed,Moderate,MasterCard,Low,Suggestion,Pending
Senior,Female,Savings,Mass-Market,Large,Deposit,Very Large,Mortgage,Closed,High,MasterCard,High,Complaint,Resolved
Established,Male,Savings,Comfortable,Very Large,Deposit,Large,Auto,Approved,Low,MasterCard,High,Complaint,Resolved
Early Career,Female,Savings,Comfortable,Large,Withdrawal,Large,Auto,Approved,High,AMEX,High,Complaint,Resolved
Young Adult,Male,Current,Mass-Market,Large,Deposit,Large,Mortgage,Approved,High,Visa,Low,Praise,Resolved
Pre-Retirement,Female,Savings,Below-Minimum,Everyday,Transfer,Large,Auto,Approved,Low,AMEX,Over-Limit,Suggestion,Resolved
Young Adult,Female,Savings,Mass-Market,Very Large,Transfer,Medium,Personal,Closed,Moderate,Visa,Moderate,Complaint,Resolved
Early Career,Male,Current,Below-Minimum,Very Large,Transfer,Very Large,Auto,Rejected,Moderate,MasterCard,Low,Praise,Resolved
Established,Male,Current,Comfortable,Everyday,Withdrawal,Large,Personal,Closed,High,AMEX,Moderate,Praise,Pending
Early Career,Other,Savings,Comfortable,Everyday,Withdrawal,Large,Mortgage,Closed,High,MasterCard,Moderate,Complaint,Pending
Pre-Retirement,Female,Current,Comfortable,Large,Transfer,Medium,Personal,Closed,Moderate,MasterCard,Over-Limit,Praise,Resolved
Early Career,Male,Current,Below-Minimum,Large,Withdrawal,Small,Personal,Approved,Moderate,MasterCard,Moderate,Complaint,Pending
Young Adult,Other,Current,Comfortable,Very Large,Withdrawal,Large,Auto,Rejected,High,MasterCard,Low,Suggestion,Resolved
Established,Male,Savings,Comfortable,Everyday,Withdrawal,Large,Mortgage,Rejected,Low,AMEX,Low,Complaint,Resolved
Established,Other,Current,Below-Minimum,Very Large,Transfer,Large,Auto,Closed,High,MasterCard,Low,Praise,Resolved
Established,Other,Current,Comfortable,Large,Withdrawal,Very Large,Auto,Approved,Low,MasterCard,Moderate,Complaint,Resolved
Pre-Retirement,Male,Current,Comfortable,Large,Withdrawal,Very Large,Mortgage,Closed,Moderate,MasterCard,Low,Suggestion,Pending
Pre-Retirement,Male,Savings,Mass-Market,Large,Transfer,Medium,Mortgage,Rejected,High,Visa,Low,Praise,Pending
Early Career,Female,Current,Below-Minimum,Large,Transfer,Very Large,Auto,Rejected,Moderate,Visa,Over-Limit,Praise,Pending
Early Career,Female,Savings,Below-Minimum,Everyday,Withdrawal,Large,Auto,Closed,Low,AMEX,Over-Limit,Complaint,Pending
Early Career,Other,Current,Below-Minimum,Very Large,Withdrawal,Very Large,Personal,Rejected,High,MasterCard,Moderate,Complaint,Pending
Senior,Male,Savings,Comfortable,Very Large,Deposit,Very Large,Personal,Approved,Moderate,MasterCard,Over-Limit,Praise,Resolved
Established,Female,Current,Comfortable,Very Large,Transfer,Medium,Auto,Rejected,Low,AMEX,Over-Limit,Praise,Pending
Established,Other,Current,Comfortable,Large,Deposit,Medium,Auto,Closed,Low,AMEX,High,Suggestion,Pending
Pre-Retirement,Female,Savings,Comfortable,Very Large,Deposit,Large,Auto,Rejected,Low,Visa,Moderate,Complaint,Resolved
Established,Other,Savings,Comfortable,Very Large,Deposit,Medium,Auto,Closed,Low,Visa,Moderate,Suggestion,Pending
Established,Female,Current,Mass-Market,Very Large,Deposit,Medium,Auto,Closed,Moderate,AMEX,High,Praise,Resolved
Established,Male,Current,Comfortable,Everyday,Transfer,Small,Mortgage,Approved,Moderate,MasterCard,Low,Complaint,Pending
Established,Other,Current,Mass-Market,Very Large,Transfer,Very Large,Auto,Closed,High,MasterCard,Low,Praise,Resolved
Established,Other,Savings,Mass-Market,Large,Transfer,Medium,Auto,Closed,Moderate,MasterCard,Low,Praise,Pending
Early Career,Female,Current,Comfortable,Large,Deposit,Very Large,Personal,Rejected,Low,MasterCard,Moderate,Praise,Pending
Young Adult,Female,Current,Comfortable,Large,Transfer,Very Large,Mortgage,Rejected,Low,Visa,Moderate,Suggestion,Resolved
Early Career,Female,Current,Below-Minimum,Large,Transfer,Very Large,Personal,Rejected,Low,MasterCard,Low,Suggestion,Resolved
Pre-Retirement,Male,Savings,Mass-Market,Very Large,Transfer,Large,Auto,Approved,High,AMEX,Low,Praise,Resolved
Young Adult,Female,Current,Comfortable,Everyday,Withdrawal,Large,Auto,Approved,Low,MasterCard,Moderate,Complaint,Pending
Pre-Retirement,Female,Savings,Comfortable,Everyday,Deposit,Medium,Auto,Rejected,Moderate,Visa,Low,Suggestion,Pending
Pre-Retirement,Male,Savings,Comfortable,Large,Transfer,Very Large,Auto,Approved,High,MasterCard,Moderate,Praise,Resolved
Pre-Retirement,Female,Current,Mass-Market,Large,Transfer,Medium,Auto,Rejected,High,MasterCard,Moderate,Praise,Pending
Pre-Retirement,Male,Savings,Mass-Market,Everyday,Deposit,Medium,Mortgage,Approved,Low,Visa,High,Praise,Resolved
Established,Male,Savings,Mass-Market,Very Large,Deposit,Medium,Mortgage,Closed,Low,Visa,Over-Limit,Praise,Pending
Young Adult,Female,Current,Comfortable,Very Large,Transfer,Medium,Mortgage,Rejected,Low,Visa,Over-Limit,Suggestion,Resolved
Young Adult,Male,Current,Below-Minimum,Very Large,Withdrawal,Very Large,Mortgage,Rejected,Low,MasterCard,Over-Limit,Suggestion,Pending
Early Career,Female,Current,Mass-Market,Very Large,Transfer,Medium,Mortgage,Approved,Moderate,AMEX,Over-Limit,Praise,Resolved
Pre-Retirement,Male,Savings,Comfortable,Very Large,Withdrawal,Medium,Personal,Approved,Moderate,AMEX,Moderate,Suggestion,Pending
Established,Other,Savings,Comfortable,Large,Deposit,Small,Personal,Closed,High,Visa,Moderate,Suggestion,Pending
Pre-Retirement,Female,Savings,Comfortable,Large,Deposit,Very Large,Mortgage,Approved,Low,AMEX,Low,Complaint,Resolved
Established,Other,Current,Comfortable,Everyday,Withdrawal,Very Large,Auto,Rejected,Moderate,Visa,Moderate,Praise,Resolved
Established,Other,Savings,Comfortable,Everyday,Deposit,Large,Auto,Closed,Low,AMEX,Moderate,Complaint,Resolved
Pre-Retirement,Other,Current,Mass-Market,Large,Withdrawal,Large,Auto,Rejected,High,MasterCard,Low,Suggestion,Pending
Pre-Retirement,Other,Current,Comfortable,Large,Transfer,Medium,Mortgage,Approved,High,AMEX,Over-Limit,Suggestion,Pending
Early Career,Female,Savings,Mass-Market,Everyday,Transfer,Medium,Mortgage,Rejected,Moderate,AMEX,Low,Praise,Resolved
Young Adult,Male,Savings,Mass-Market,Very Large,Deposit,Very Large,Auto,Closed,Low,MasterCard,Over-Limit,Suggestion,Pending
Senior,Female,Savings,Comfortable,Large,Deposit,Medium,Personal,Rejected,High,AMEX,Low,Suggestion,Resolved
Established,Female,Current,Mass-Market,Very Large,Deposit,Very Large,Personal,Approved,High,Visa,Moderate,Suggestion,Pending
Established,Male,Savings,Mass-Market,Very Large,Withdrawal,Small,Personal,Rejected,Low,Visa,High,Praise,Pending
Young Adult,Other,Current,Comfortable,Everyday,Deposit,Medium,Personal,Rejected,Moderate,AMEX,Moderate,Praise,Pending
Early Career,Male,Savings,Comfortable,Very Large,Transfer,Very Large,Auto,Closed,Low,Visa,Moderate,Suggestion,Pending
Young Adult,Other,Current,Comfortable,Very Large,Transfer,Large,Personal,Approved,Low,Visa,Moderate,Suggestion,Resolved
Established,Female,Savings,Mass-Market,Very Large,Transfer,Very Large,Mortgage,Closed,Low,MasterCard,Moderate,Suggestion,Pending
Established,Male,Savings,Below-Minimum,Very Large,Withdrawal,Medium,Mortgage,Closed,High,MasterCard,Moderate,Complaint,Resolved
Early Career,Male,Current,Mass-Market,Very Large,Transfer,Large,Mortgage,Closed,Low,Visa,Moderate,Suggestion,Pending
Established,Other,Savings,Below-Minimum,Large,Transfer,Very Large,Personal,Approved,Low,AMEX,Low,Praise,Resolved
Pre-Retirement,Male,Savings,Mass-Market,Large,Deposit,Very Large,Mortgage,Rejected,Low,MasterCard,Low,Suggestion,Pending
Young Adult,Female,Current,Comfortable,Large,Transfer,Large,Mortgage,Approved,Low,AMEX,Low,Suggestion,Pending
Pre-Retirement,Male,Savings,Comfortable,Large,Deposit,Very Large,Mortgage,Rejected,High,MasterCard,Low,Praise,Pending
Established,Male,Savings,Comfortable,Large,Transfer,Large,Mortgage,Closed,Moderate,Visa,Over-Limit,Complaint,Pending
Established,Female,Current,Mass-Market,Everyday,Transfer,Very Large,Auto,Rejected,Moderate,MasterCard,Moderate,Suggestion,Resolved
Young Adult,Other,Savings,Mass-Market,Very Large,Deposit,Medium,Personal,Approved,Low,AMEX,Moderate,Praise,Resolved
Early Career,Male,Savings,Mass-Market,Everyday,Deposit,Medium,Personal,Approved,High,Visa,High,Suggestion,Resolved
Pre-Retirement,Other,Current,Comfortable,Very Large,Transfer,Very Large,Personal,Approved,High,MasterCard,Over-Limit,Suggestion,Pending
Early Career,Male,Savings,Comfortable,Large,Withdrawal,Large,Auto,Rejected,Moderate,Visa,Low,Suggestion,Pending
Established,Female,Savings,Comfortable,Everyday,Withdrawal,Large,Personal,Rejected,Low,AMEX,Moderate,Praise,Pending
Early Career,Other,Current,Comfortable,Everyday,Deposit,Medium,Auto,Approved,Moderate,AMEX,Moderate,Suggestion,Pending
Established,Male,Savings,Comfortable,Large,Deposit,Large,Mortgage,Approved,Low,AMEX,High,Praise,Resolved
Early Career,Other,Savings,Comfortable,Very Large,Transfer,Medium,Auto,Rejected,Low,Visa,Over-Limit,Suggestion,Pending
Young Adult,Male,Savings,Comfortable,Very Large,Withdrawal,Small,Personal,Closed,Moderate,Visa,Low,Praise,Resolved
Pre-Retirement,Female,Current,Mass-Market,Large,Withdrawal,Medium,Auto,Approved,Low,MasterCard,Moderate,Complaint,Resolved
Established,Female,Savings,Comfortable,Very Large,Transfer,Very Large,Auto,Rejected,High,AMEX,Moderate,Suggestion,Resolved
Established,Male,Savings,Comfortable,Very Large,Withdrawal,Medium,Mortgage,Approved,High,Visa,Low,Praise,Pending
Pre-Retirement,Male,Current,Comfortable,Large,Transfer,Medium,Auto,Closed,Low,Visa,Low,Suggestion,Resolved
Established,Other,Current,Mass-Market,Everyday,Transfer,Very Large,Auto,Closed,High,Visa,Over-Limit,Praise,Resolved
Young Adult,Male,Savings,Comfortable,Large,Deposit,Large,Auto,Closed,Moderate,MasterCard,Over-Limit,Praise,Resolved
Established,Other,Savings,Comfortable,Large,Transfer,Very Large,Auto,Rejected,Moderate,MasterCard,Moderate,Praise,Resolved
Pre-Retirement,Male,Current,Mass-Market,Very Large,Withdrawal,Large,Personal,Closed,Moderate,AMEX,Over-Limit,Complaint,Resolved
Established,Female,Current,Mass-Market,Very Large,Withdrawal,Medium,Mortgage,Approved,Moderate,AMEX,High,Complaint,Resolved
Pre-Retirement,Other,Current,Comfortable,Very Large,Transfer,Large,Auto,Closed,Low,Visa,Moderate,Suggestion,Resolved
Young Adult,Other,Savings,Mass-Market,Very Large,Deposit,Medium,Mortgage,Approved,High,AMEX,High,Praise,Resolved
Early Career,Female,Current,Mass-Market,Very Large,Withdrawal,Medium,Mortgage,Approved,Low,Visa,Moderate,Suggestion,Resolved
Established,Other,Savings,Mass-Market,Large,Deposit,Very Large,Personal,Approved,Moderate,Visa,Low,Complaint,Resolved
Pre-Retirement,Female,Savings,Mass-Market,Very Large,Transfer,Very Large,Auto,Approved,High,Visa,Over-Limit,Suggestion,Resolved
Young Adult,Female,Savings,Comfortable,Everyday,Transfer,Very Large,Auto,Approved,High,AMEX,Over-Limit,Complaint,Pending
Early Career,Female,Current,Below-Minimum,Large,Withdrawal,Small,Personal,Closed,Moderate,Visa,Over-Limit,Complaint,Resolved
Established,Male,Current,Mass-Market,Large,Withdrawal,Medium,Personal,Rejected,High,Visa,Low,Suggestion,Pending
Established,Female,Current,Comfortable,Everyday,Deposit,Large,Personal,Closed,Low,MasterCard,Over-Limit,Praise,Resolved
Young Adult,Other,Current,Comfortable,Large,Transfer,Medium,Mortgage,Closed,High,MasterCard,Over-Limit,Praise,Pending
Pre-Retirement,Male,Savings,Comfortable,Large,Deposit,Very Large,Auto,Rejected,High,Visa,High,Praise,Pending
Established,Female,Savings,Below-Minimum,Large,Withdrawal,Medium,Auto,Closed,Moderate,AMEX,Moderate,Complaint,Pending
Established,Female,Current,Comfortable,Large,Withdrawal,Large,Auto,Rejected,Low,AMEX,Low,Suggestion,Pending
Young Adult,Female,Savings,Comfortable,Large,Deposit,Large,Personal,Approved,Moderate,MasterCard,Low,Praise,Resolved
Established,Other,Current,Below-Minimum,Large,Transfer,Very Large,Mortgage,Closed,Low,MasterCard,Moderate,Complaint,Pending
Pre-Retirement,Male,Savings,Comfortable,Large,Withdrawal,Medium,Mortgage,Approved,Moderate,Visa,Over-Limit,Praise,Pending
Senior,Male,Savings,Comfortable,Very Large,Transfer,Medium,Personal,Approved,High,AMEX,Low,Complaint,Resolved
Young Adult,Male,Current,Comfortable,Large,Withdrawal,Very Large,Auto,Rejected,Moderate,MasterCard,Low,Suggestion,Resolved
Young Adult,Other,Savings,Comfortable,Everyday,Transfer,Medium,Auto,Closed,Moderate,AMEX,Moderate,Complaint,Resolved
Pre-Retirement,Female,Savings,Comfortable,Very Large,Withdrawal,Very Large,Mortgage,Approved,High,MasterCard,Low,Complaint,Pending
Pre-Retirement,Male,Savings,Comfortable,Very Large,Transfer,Medium,Mortgage,Approved,Moderate,AMEX,Over-Limit,Suggestion,Pending
Senior,Female,Current,Below-Minimum,Everyday,Transfer,Very Large,Auto,Approved,Moderate,MasterCard,Moderate,Suggestion,Resolved
Pre-Retirement,Other,Savings,Comfortable,Very Large,Withdrawal,Very Large,Personal,Rejected,High,Visa,Low,Suggestion,Resolved
Established,Male,Savings,Comfortable,Very Large,Transfer,Very Large,Personal,Rejected,Moderate,AMEX,Low,Complaint,Pending
Early Career,Other,Savings,Comfortable,Very Large,Transfer,Large,Mortgage,Approved,High,AMEX,Over-Limit,Suggestion,Resolved
Pre-Retirement,Male,Current,Comfortable,Large,Withdrawal,Small,Personal,Closed,High,AMEX,Low,Complaint,Pending
